image,subject,confidence
2015-10-02_02-44-35_UTC.jpg,vending machine,0.3138977885246277
2014-06-03_14-26-05_UTC.jpg,dial telephone,0.5256249308586121
2015-04-12_17-57-28_UTC.jpg,sweatshirt,0.09040087461471558
2023-10-21_02-39-07_UTC_6.jpg,shower cap,0.2025059014558792
2018-03-15_00-38-47_UTC.jpg,marimba,0.7786951661109924
2015-09-30_03-41-02_UTC.jpg,trailer truck,0.210480734705925
2015-04-28_23-46-58_UTC.jpg,traffic light,0.8604399561882019
2014-07-28_20-12-10_UTC.jpg,safe,0.22579514980316162
2015-07-18_10-27-36_UTC.jpg,traffic light,0.6345254778862
2014-06-08_14-14-50_UTC.jpg,mosque,0.4093233048915863
2015-04-10_16-35-41_UTC.jpg,traffic light,0.7002301216125488
2015-02-28_19-40-08_UTC.jpg,mosque,0.24967195093631744
2015-11-23_05-30-36_UTC.jpg,shower cap,0.3467871844768524
2023-11-07_01-10-45_UTC_1.jpg,hand-held computer,0.18659831583499908
2014-06-26_15-35-46_UTC.jpg,hook,0.2415262907743454
2018-03-04_00-21-54_UTC.jpg,bicycle-built-for-two,0.6017343401908875
2014-12-15_22-04-44_UTC.jpg,traffic light,0.8373689651489258
2015-02-19_01-18-21_UTC.jpg,traffic light,0.29051774740219116
2014-06-13_18-02-55_UTC.jpg,shovel,0.2713198661804199
2018-07-28_01-50-01_UTC.jpg,guillotine,0.21717508137226105
2018-03-14_00-58-57_UTC.jpg,marimba,0.5934513211250305
2019-11-08_02-51-48_UTC.jpg,traffic light,0.7993214130401611
2018-03-19_02-03-49_UTC.jpg,frying pan,0.1195884570479393
2014-02-28_02-13-11_UTC.jpg,traffic light,0.3480568826198578
2015-08-27_05-36-33_UTC.jpg,cloak,0.07700549811124802
2023-11-07_01-10-45_UTC_3.jpg,power drill,0.46345147490501404
2016-05-10_23-53-15_UTC.jpg,bikini,0.32571667432785034
2015-12-06_20-27-56_UTC.jpg,marimba,0.5654296278953552
2023-09-30_16-54-01_UTC.jpg,traffic light,0.47790879011154175
