image_name,main_subject,confidence,detected_objects
2015-06-17_23-28-56_UTC.jpg,plow,0.27,
2024-12-14_02-56-35_UTC.jpg,vault,0.36,
2018-11-26_20-21-28_UTC.jpg,hand-held computer,0.53,
2017-06-28_23-10-08_UTC.jpg,marimba,0.80,
2023-09-16_16-06-22_UTC.jpg,traffic light,0.58,
2014-12-29_21-31-17_UTC.jpg,traffic light,0.29,
2024-05-05_18-19-32_UTC.jpg,traffic light,0.45,
2023-10-25_01-36-36_UTC.jpg,traffic light,0.13,
2017-12-19_20-42-22_UTC_2.jpg,hand-held computer,0.43,
2016-05-10_01-19-04_UTC.jpg,wombat,0.30,
2015-03-20_23-28-22_UTC.jpg,traffic light,0.86,
2023-11-01_23-40-55_UTC_1.jpg,brass,0.58,
2018-11-12_03-51-46_UTC.jpg,bell cote,0.28,
2015-08-13_04-17-57_UTC.jpg,vending machine,0.09,
2025-01-11_02-30-17_UTC.jpg,hand-held computer,0.34,
2015-06-22_18-16-01_UTC.jpg,traffic light,0.18,
2015-09-08_07-07-05_UTC.jpg,power drill,0.75,
2014-11-09_06-55-13_UTC.jpg,bakery,0.10,
2023-10-22_23-43-10_UTC_3.jpg,puffer,0.33,
2014-04-16_06-25-59_UTC.jpg,mosque,0.13,
2015-08-02_00-32-49_UTC.jpg,marimba,0.76,
2023-11-01_23-40-55_UTC_3.jpg,stethoscope,0.19,
2018-07-19_01-49-32_UTC_2.jpg,shovel,0.19,
2014-07-03_01-19-34_UTC.jpg,sandal,0.34,
2016-04-27_04-15-10_UTC.jpg,shower cap,0.33,
2015-01-30_02-09-10_UTC.jpg,mosque,0.30,
2014-11-12_01-10-15_UTC.jpg,marimba,0.42,
2016-11-01_01-46-06_UTC.jpg,marimba,0.20,
2016-11-19_17-49-15_UTC.jpg,solar dish,0.28,
2018-08-13_03-18-08_UTC.jpg,trombone,0.08,
2014-11-18_02-36-21_UTC.jpg,wombat,0.09,
2014-12-02_03-24-15_UTC.jpg,vacuum,0.14,
